ID;NumberZ;Shifr;Napr;Prof;Uroven;FormaOb;Fin;Zach;Sogl
1BA7F3B0-65DD-40D2-8BBA-7B925EEFCE73;1274;29.00.05;Конструирование изделий легкой промышленности;;Бакалавриат;Очная форма;Бюджетные места;1;1
1BA7F3B0-65DD-40D2-8BBA-7B925EEFCE73;1274;54.00.01;Дизайн;;Бакалавриат;Очная форма;Бюджетные места;0;0
1BA7F3B0-65DD-40D2-8BBA-7B925EEFCE73;1274;54.00.03;Искусство костюма и текстиля;;Бакалавриат;Очная форма;Бюджетные места;0;0
FDE0C7A1-5491-4C68-A35B-18BDFF972061;2602;40.00.01;Юриспруденция;;Магистратура;Заочная форма;Бюджетные места;0;1
FDE0C7A1-5491-4C68-A35B-18BDFF972061;2602;40.00.01;Юриспруденция;;Магистратура;Заочная форма;С оплатой обучения;0;0
6A6C3464-D534-43CA-9C79-E7FC5601EF8C;2483;09.00.02;Информационные системы и технологии;;Магистратура;Заочная форма;С оплатой обучения;1;1
6A6C3464-D534-43CA-9C79-E7FC5601EF8C;2483;40.00.01;Юриспруденция;;Магистратура;Заочная форма;С оплатой обучения;0;0
2178EAC4-828C-46C9-ACBB-7BC81C28952E;873;35.00.02;Технология лесозаготовительных и деревоперерабатывающих производств;;Магистратура;Очная форма;Бюджетные места;1;1
2178EAC4-828C-46C9-ACBB-7BC81C28952E;873;35.00.02;Технология лесозаготовительных и деревоперерабатывающих производств;;Магистратура;Очная форма;С оплатой обучения;0;0
3244D4AB-EFDB-4E46-8000-F1FAEE35CF6E;864;46.00.01;История;;Магистратура;Очная форма;Бюджетные места;1;1
1984653A-147F-4BCD-99C9-CC4E5C6AE6D4;417;38.00.01;Экономика;;Бакалавриат;Очная форма;Целевой прием;0;0
19BD508E-0685-41A1-8B6E-9FA5E3494A67;3171;29.00.04;Технология художественной обработки материалов;;Магистратура;Очная форма;Бюджетные места;1;1
303373DE-9CCF-435B-905C-855F8A347F88;1319;44.00.02;Психолого-педагогическое образование;Психология;Бакалавриат;Очная форма;Бюджетные места;0;0
303373DE-9CCF-435B-905C-855F8A347F88;1319;04.00.01;Химия;;Бакалавриат;Очная форма;Бюджетные места;0;0
303373DE-9CCF-435B-905C-855F8A347F88;1319;37.00.01;Психология;;Бакалавриат;Очная форма;Бюджетные места;0;0
