"ID";"Diplom";"Org";"DataV";"longitude";"latitude"
"1ba7f3b0-65dd-40d2-8bba-7b925eefce73";"Аттестат о среднем (полном) общем образовании";"Муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа №6"" городского округа г. Шарья Костромской области";2017;"58.3801628";"45.5023053"
"fde0c7a1-5491-4c68-a35b-18bdff972061";"Диплом о высшем профессиональном образовании";"ФГБОУ ВО ""Российский экономический университет имени Г.В. Плеханова"" г. Москва";2017;"55.727124";"37.6288153"
"6a6c3464-d534-43ca-9c79-e7fc5601ef8c";"Диплом о высшем профессиональном образовании";"ФГБОУ ВО ""Костромской государственный университет"" ";2017;"57.759585";"40.942468"
"2178eac4-828c-46c9-acbb-7bc81c28952e";"Диплом о высшем профессиональном образовании";"ФГБОУ ВО ""Костромской государственный университет"" г. Кострома";2017;"57.759585";"40.942468"
"3244d4ab-efdb-4e46-8000-f1faee35cf6e";"Диплом о высшем профессиональном образовании";"ФГБОУ ВО ""Костромской государственный университет"" г. Кострома";2017;"57.759585";"40.942468"
"1984653a-147f-4bcd-99c9-cc4e5c6ae6d4";"Аттестат о среднем (полном) общем образовании";"ЛИЦЕЙ №2 ГОРОДА РЫБИНСКА ЯРОСЛАВСКОЙ ОБЛАСТИ";2017;"58.047884";"38.8260351"
"19bd508e-0685-41a1-8b6e-9fa5e3494a67";"Диплом о высшем профессиональном образовании";"Башкирский государственный педагогический университет им. М. Акмуллы";2016;"54.723908";"55.947637"
"303373de-9ccf-435b-905c-855f8a347f88";"Аттестат о среднем (полном) общем образовании";"муниципальное бюджетное общеобразовательное учреждение Лицей № 1 городского округа город Мантурово Костромской области";2017;"58.3076345";"44.7587408"
"e0f4270c-3b70-46a9-b057-63705f64aff2";"Диплом о высшем профессиональном образовании";"ФГБОУ ВО ""Костромской государственный университет"" г. Кострома";2017;"57.759585";"40.942468"
"28be4548-c028-4fae-a5ac-9b5b33a929fc";"Аттестат о среднем (полном) общем образовании";"муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа № 6"" городского округа город Шарья Костромской области";2017;"58.3801628";"45.5023053"
"f0847eef-0df9-4511-80ee-648fbc2b23d9";"Диплом о среднем профессиональном образовании";"Костромской технологический техникум";2017;"57.7555711";"40.9531215"
"d408784d-14a9-4afe-8fcd-a25a295f586c";"Аттестат о среднем (полном) общем образовании";"Средняя школа №6 Атамыратского района Лебапской области";2015;"37.8099917";"65.2026017"
"2de60fbf-3cfc-4e48-8ba9-fb0d78c766de";"Аттестат о среднем (полном) общем образовании";"Средняя общеобразовательная школа № 11";2017;"57.7382578";"40.9058272"
"7ad949a1-b674-4085-a24b-48957ea1283c";"Аттестат о среднем (полном) общем образовании";"Лицей №32";2017;"57.776937";"40.951913"
"563e6281-6ee1-40c9-8458-e25a5c7b1da6";"Диплом о среднем профессиональном образовании";"Костромской торгово-экономический колледж";2017;"57.7656389";"40.9368408"
"5a952c69-fa21-4681-b2e3-8c4a2876ca39";"Аттестат о среднем (полном) общем образовании";"Средняя общеобразовательная школа № 21";2017;"57.7393158";"40.9095164"
"c936350c-895d-4477-95d3-df56e62656dd";"Аттестат о среднем (полном) общем образовании";"муниципальное бюджетное общеобразовательное учреждение - Средняя общеобразовательная школа № 2 им. И.Г. Петровского г. Севска Брянской области";2017;"52.1490959";"34.4903399"
"10f58bbd-06a5-4b5a-b0fe-2c2e93cccdc9";"Диплом о высшем профессиональном образовании";"Костромской государственный университет";2017;"57.759585";"40.942468"
"34f91808-ea6e-4543-8c30-889d3df2c456";"Аттестат о среднем (полном) общем образовании";"муниципальное бюджетное общеобразовательное учреждение ""Сергачская общеобразовательная школа № 5"" г. Сергач Нижегородской области";2017;"55.5218645";"45.4665721"
"da47d3b8-fc51-47db-9125-e78d86d55303";"Диплом о высшем профессиональном образовании";"КОСТРОМСКОЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ";2017;"57.759585";"40.942468"
"e625d481-7423-451a-828c-48ea9d6d1754";"Аттестат о среднем (полном) общем образовании";"МБОУ ""Вохомская средняя общеобразовательная школа"" Вохомского муниципального районе Костромской области";2017;"58.9267106";"46.750784"
"0830740a-c9b7-48ee-894b-292eaf7385ee";"Аттестат о среднем (полном) общем образовании";"муниципальное бюджетное общеобразовательное учреждение Лицей № 1 городского округа город Мантурово Костромской области";2017;"58.3076345";"44.7587408"
"c30a6c39-836c-49da-ac82-7e28573305c7";"Аттестат о среднем (полном) общем образовании";"муниципальное бюджетное общеобразовательное учреждение средняя школа №2 городского округа Кохма Ивановской области";2017;"56.9336866";"41.1087793"
"5bef7c15-ba76-4d6b-a781-55083dcf987c";"Диплом о среднем профессиональном образовании";"Буйский областной колледж искусств";2016;"58.4808071";"41.5313942"
"6a769743-ce7e-4516-b649-1b014e8962e1";"Аттестат о среднем (полном) общем образовании";"Средняя общеобразовательная школа №4";2017;"57.7905515";"40.9389809"
"7ad679ff-8869-4335-b71b-173456fdaaa6";"Диплом о высшем профессиональном образовании";"КОСТРОМСКОЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ";2017;"57.759585";"40.942468"
"92280775-55f2-4229-8087-9cb77d1db7c0";"Аттестат о среднем (полном) общем образовании";"Средняя школа №24 Атамыраского района Лебапской области";2017;"37.8099917";"65.2026017"
"ea447399-01d3-420b-9c9b-dd2153d73c34";"Диплом о высшем профессиональном образовании";"КОСТРОМСКОЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ";2017;"57.759585";"40.942468"
"f217295c-e70b-4401-a4a3-a5d9348956b9";"Диплом о высшем профессиональном образовании";"КОСТРОМСКОЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ";2017;"57.759585";"40.942468"
"e09ff628-44ee-467a-8e27-65ad63cc654e";"Диплом о среднем профессиональном образовании";"ОГБПОУ ""Буйский колледж искусств""";2016;"58.4808071";"41.5313942"
"1aadf049-d29a-4bef-91a5-53cb5a63088c";"Диплом о высшем профессиональном образовании";"КОСТРОМСКАЯ ГОСУДАРСТВЕННАЯ СЕЛЬСКОХОЗЯЙСТВЕННАЯ АКАДЕМИЯ";1995;"57.733452";"41.0507389"
"7036c2c1-c0ce-4eab-a2ec-eff0717b5d59";"Диплом о высшем профессиональном образовании";"КОСТРОМСКОЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ";2017;"57.759585";"40.942468"
"7d1444c7-41d3-4e69-8166-5cbe2cddda5b";"Аттестат о среднем (полном) общем образовании";"Средняя общеобразовательная школа № 6";2016;"57.750287";"40.917704"
"e2c13e91-404e-40cc-af1b-e1e3ec0639e8";"Аттестат о среднем (полном) общем образовании";"Гимназия № 25 города Костромы";2017;"57.7365806";"41.0062445"
"df190026-187d-4e4a-a465-ee6b9709c2ab";"Аттестат о среднем (полном) общем образовании";"Средняя общеобразовательная школа № 26 имени Героя Советского Союза В. В. Князева города Костромы";2016;"57.777477";"40.926425"
"195e4bee-37ed-445b-9bce-61b4b5a42caa";"Диплом о высшем профессиональном образовании";"Негосударственное аккредитованное частное образовательное учреждение высшего профессионального образования Современная гуманитарная академия г. Москва";2014;"55.806088";"37.63221385"
"57c8ac73-302d-4621-bf06-852551de0fc7";"Аттестат о среднем (полном) общем образовании";"МОУ ""Средняя школа № 78"" города Ярославля Ярославской области";2016;"57.5531454";"39.9327109"
"25e3941b-20e1-4235-b01b-7299b96bb707";"Диплом о высшем профессиональном образовании";"КОСТРОМСКОЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ";2017;"57.759585";"40.942468"
"6e3e7bca-b44f-4da1-8523-72ed76abdb62";"Диплом о высшем профессиональном образовании";"ФГБОУ ВПО ""МОСКОВСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ЭКОНОМИКИ, СТАТИСТИКИ И ИНФОРМАТИКИ (МЭСИ)""";2012;"55.7125813";"37.4772689"
"9981b313-a634-4a0f-832d-66164c01d7e1";"Диплом о высшем профессиональном образовании";"ФГБОУ ВПО ""Ивановский государственный университет""";2015;"57.019089";"40.9562775"
"4acc7318-894c-4ae4-8023-6ea1624d9e76";"Аттестат о среднем (полном) общем образовании";"Гимназия №2 города Истравшан";2017;"39.8772715";"69.0254926"
"c3b437c9-d236-492d-bf09-11d02a63a9aa";"Диплом о среднем профессиональном образовании";"Костромской машиностроительный техникум";2015;"57.75325499";"41.0188441"
"e8e125a2-dd22-475a-8b12-66c1ba54be91";"Диплом о среднем профессиональном образовании";"Негосударственное образовательное учреждение среднего профессионального образования Костромской технологический техникум ОАО ""Костромакоопцентр"" г.Кострома";2014;"57.7555711";"40.9531215"
